iter	Passed	Remaining
0	23	41562
1	42	37770
2	61	36851
3	78	35327
4	97	34989
5	116	34696
6	133	34316
7	154	34520
8	173	34534
9	193	34697
10	213	34800
11	238	35509
12	256	35257
13	274	34960
14	293	34945
15	315	35124
16	336	35245
17	355	35167
18	373	34988
19	390	34761
20	409	34695
21	428	34660
22	449	34716
23	466	34531
24	484	34415
25	503	34385
26	523	34387
27	546	34607
28	567	34644
29	596	35166
30	621	35461
31	641	35458
32	664	35585
33	686	35642
34	707	35661
35	728	35674
36	750	35751
37	770	35705
38	787	35574
39	811	35689
40	832	35734
41	860	36021
42	884	36135
43	909	36279
44	929	36254
45	949	36191
46	970	36191
47	990	36147
48	1010	36102
49	1031	36091
50	1054	36167
51	1073	36097
52	1092	35998
53	1110	35917
54	1130	35871
55	1154	35951
56	1177	36010
57	1198	35993
58	1226	36188
59	1249	36237
60	1271	36261
61	1297	36359
62	1321	36438
63	1342	36422
64	1362	36376
65	1385	36400
66	1412	36531
67	1436	36600
68	1460	36639
69	1481	36614
70	1508	36730
71	1534	36826
72	1557	36841
73	1578	36829
74	1602	36856
75	1624	36847
76	1647	36875
77	1666	36792
78	1687	36771
79	1709	36758
80	1731	36745
81	1751	36696
82	1771	36645
83	1789	36552
84	1813	36591
85	1837	36622
86	1861	36659
87	1889	36768
88	1918	36876
89	1941	36879
90	1969	36996
91	1998	37105
92	2024	37153
93	2050	37206
94	2074	37222
95	2096	37221
96	2116	37158
97	2137	37130
98	2162	37163
99	2184	37139
100	2203	37065
101	2236	37223
102	2265	37324
103	2295	37428
104	2335	37703
105	2356	37666
106	2377	37620
107	2396	37547
108	2416	37488
109	2437	37445
110	2455	37364
111	2472	37265
112	2491	37190
113	2509	37114
114	2528	37051
115	2547	36978
116	2565	36899
117	2583	36829
118	2604	36787
119	2626	36772
120	2645	36714
121	2666	36670
122	2685	36617
123	2704	36547
124	2724	36503
125	2749	36534
126	2776	36580
127	2804	36629
128	2829	36656
129	2852	36638
130	2870	36569
131	2890	36522
132	2915	36545
133	2936	36511
134	2957	36472
135	2977	36426
136	2996	36370
137	3016	36333
138	3036	36281
139	3054	36212
140	3071	36137
141	3090	36086
142	3109	36032
143	3128	35981
144	3147	35926
145	3169	35907
146	3193	35912
147	3216	35905
148	3241	35919
149	3266	35932
150	3290	35937
